,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,Country,Type
72,Zakir Hasan,2023-2023,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Bangladesh,bowling
73,JOA Gordon,2023-2023,5,5,41.2,1,202,12,6/43,16.83,4.88,20.6,1,0,1,0,Canada,bowling
74,H Thaker,2023-2023,5,5,43.0,3,144,6,2/27,24.00,3.34,43.0,0,0,2,0,Canada,bowling
75,Saad Bin Zafar,2023-2023,5,5,45.0,0,215,8,3/43,26.87,4.77,33.7,0,0,1,0,Canada,bowling
76,Kaleem Sana,2023-2023,5,5,42.0,5,207,7,3/14,29.57,4.92,36.0,0,0,1,0,Canada,bowling
77,Pargat Singh,2023-2023,5,3,14.0,0,61,2,1/20,30.50,4.35,42.0,0,0,1,0,Canada,bowling
78,N Dutta,2023-2023,5,4,33.0,1,135,4,2/30,33.75,4.09,49.5,0,0,1,0,Canada,bowling
79,D Heyliger,2023-2023,2,2,13.0,0,45,1,1/34,45.00,3.46,78.0,0,0,0,0,Canada,bowling
80,A Johnson,2023-2023,5,0,0.0,0,0,0,0,0,0,0,0,0,4,0,Canada,bowling
81,NR Kirton,2023-2023,3,0,0.0,0,0,0,0,0,0,0,0,0,1,0,Canada,bowling
82,Ravinderpal Singh,2023-2023,5,0,0.0,0,0,0,0,0,0,0,0,0,4,0,Canada,bowling
83,M Spoors,2023-2023,5,0,0.0,0,0,0,0,0,0,0,0,0,1,0,Canada,bowling
84,SA Wijeyeratne,2023-2023,5,0,0.0,0,0,0,0,0,0,0,0,0,8,2,Canada,bowling
85,JC Archer,2023-2023,4,4,38.0,2,193,12,6/40,16.08,5.07,19.0,1,0,1,0,England,bowling
86,GLS Scrimshaw,2023-2023,1,1,8.4,0,66,3,3/66,22.00,7.61,17.3,0,0,0,0,England,bowling
87,Rehan Ahmed,2023-2023,3,2,20.0,0,116,5,4/54,23.20,5.80,24.0,0,0,1,0,England,bowling
