,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,Type,Name,Age,Batting style,Bowling style,Role,Arm,Consolidated_Bowling_Style,BF,HS,Team 1,Team 2,Winner,Margin,Wins,Country
624,DA Warner,20.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,bowling,David Warner,37,Left-handed,Right arm leg break,All-Rounders,Right,Leg break,,,,,,,14,Australia
625,Rahmat Shah,18.0,2.0,2.1,0.0,18.0,1.0,1/6,18.0,8.3,13.0,0.0,0.0,6.0,0.0,bowling,Rahmat Shah,30,Right-handed,Right arm leg break,All-Rounders,Right,Leg break,,,,,,,7,Afghanistan
626,Gulbadin Naib,4.0,4.0,29.0,1.0,173.0,8.0,4/60,21.62,5.96,21.7,0.0,0.0,0.0,0.0,bowling,Gulbadin Naib,32,Right-handed,Right arm medium fast,All-Rounders,Right,Fast medium,,,,,,,7,Afghanistan
627,Fareed Ahmad,4.0,4.0,28.0,0.0,182.0,6.0,2/43,30.33,6.5,28.0,0.0,0.0,0.0,0.0,bowling,Fareed Ahmad,29,Left-handed,Left arm fast medium,Spin Bowler,Left,Fast medium,,,,,,,7,Afghanistan
628,Mohammad Nabi,20.0,20.0,139.3,4.0,601.0,18.0,3/28,33.38,4.3,46.5,0.0,0.0,11.0,0.0,bowling,Mohammad Nabi,38,Right-handed,Right arm off break,All-Rounders,Right,Off break,,,,,,,7,Afghanistan
629,Fazalhaq Farooqi,17.0,17.0,118.5,7.0,705.0,21.0,4/34,33.57,5.93,33.9,0.0,0.0,1.0,0.0,bowling,Fazalhaq Farooqi,23,Right-handed,Left arm fast medium,Spin Bowler,Left,Fast medium,,,,,,,7,Afghanistan
630,Rashid Khan,17.0,17.0,158.3,4.0,724.0,20.0,3/37,36.2,4.56,47.5,0.0,0.0,6.0,0.0,bowling,Rashid Khan,25,Right-handed,Right arm leg break,All-Rounders,Right,Leg break,,,,,,,7,Afghanistan
631,Mujeeb Ur Rahman,20.0,20.0,179.5,8.0,907.0,22.0,3/33,41.22,5.04,49.0,0.0,0.0,2.0,0.0,bowling,Mujeeb Ur Rahman,22,Right-handed,Right arm off break,Spin Bowler,Right,Off break,,,,,,,7,Afghanistan
632,Noor Ahmad,6.0,6.0,55.0,1.0,306.0,7.0,3/49,43.71,5.56,47.1,0.0,0.0,1.0,0.0,bowling,Noor Ahmad,18,Right-handed,Slow left arm unorthodox,Wicket Keeper,Left,Slow left arm,,,,,,,7,Afghanistan
633,Naveen-ul-Haq,8.0,8.0,53.4,1.0,352.0,8.0,2/47,44.0,6.55,40.2,0.0,0.0,2.0,0.0,bowling,Naveen-ul-Haq,24,Right-handed,Right arm medium fast,Pace Bowler,Right,Fast medium,,,,,,,7,Afghanistan
