,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Wins
179,U.A.E.,Nepal,U.A.E.,68 runs,Dubai (DSC),"Mar 2, 2023",ODI # 4526,9
180,Bangladesh,England,England,3 wickets,Mirpur,"Mar 1, 2023",ODI # 4525,10
181,U.A.E.,P.N.G.,P.N.G.,131 runs,Dubai (DSC),"Feb 28, 2023",ODI # 4524,3
182,Nepal,P.N.G.,Nepal,4 wickets,Dubai (DSC),"Feb 27, 2023",ODI # 4523,15
183,U.A.E.,Namibia,Namibia,7 wickets,Dubai (DSC),"Feb 25, 2023",ODI # 4522,4
184,U.A.E.,Namibia,U.A.E.,1 wicket,Dubai (DSC),"Feb 23, 2023",ODI # 4521,9
185,Nepal,Scotland,Nepal,2 wickets,Kirtipur,"Feb 21, 2023",ODI # 4520,15
186,Namibia,Scotland,Scotland,43 runs,Kirtipur,"Feb 20, 2023",ODI # 4519,7
187,Nepal,Namibia,Nepal,3 wickets,Kirtipur,"Feb 18, 2023",ODI # 4518,15
188,Nepal,Scotland,Nepal,3 wickets,Kirtipur,"Feb 17, 2023",ODI # 4517,15
189,Namibia,Scotland,Scotland,10 wickets,Kirtipur,"Feb 15, 2023",ODI # 4516,7
190,Nepal,Namibia,Nepal,2 wickets,Kirtipur,"Feb 14, 2023",ODI # 4515,15
191,South Africa,England,England,59 runs,Kimberley,"Feb 1, 2023",ODI # 4514,10
192,South Africa,England,South Africa,5 wickets,Bloemfontein,"Jan 29, 2023",ODI # 4513,15
193,South Africa,England,South Africa,27 runs,Bloemfontein,"Jan 27, 2023",ODI # 4512,15
194,India,New Zealand,India,90 runs,Indore,"Jan 24, 2023",ODI # 4511,25
195,Zimbabwe,Ireland,no result,-,Harare,"Jan 23, 2023",ODI # 4510,6
196,India,New Zealand,India,8 wickets,Raipur,"Jan 21, 2023",ODI # 4509,25
197,Zimbabwe,Ireland,Ireland,46 runs,Harare,"Jan 21, 2023",ODI # 4508,4
198,India,New Zealand,India,12 runs,Hyderabad,"Jan 18, 2023",ODI # 4507,25
199,Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare,"Jan 18, 2023",ODI # 4506,8
200,India,Sri Lanka,India,317 runs,Thiruvananthapuram,"Jan 15, 2023",ODI # 4505,25
201,Pakistan,New Zealand,New Zealand,2 wickets,Karachi,"Jan 13, 2023",ODI # 4504,13
202,India,Sri Lanka,India,4 wickets,Eden Gardens,"Jan 12, 2023",ODI # 4503,25
203,Pakistan,New Zealand,New Zealand,79 runs,Karachi,"Jan 11, 2023",ODI # 4502,13
204,India,Sri Lanka,India,67 runs,Guwahati,"Jan 10, 2023",ODI # 4501,25
205,Pakistan,New Zealand,Pakistan,6 wickets,Karachi,"Jan 9, 2023",ODI # 4500,14
